doc_id,key,premise,hypothesis,label,label_binary
320,nda-1,,All Confidential Information shall be expressly identified by the Disclosing Party.,NotMentioned,0
308,nda-4,2. Each party agrees not to use the Confidential Information for any purpose whatsoever except for the purposes set forth above.,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,0
192,nda-11,"2.5. RECIPIENT shall not perform reverse engineering on any Confidential Information. In particular, in the event that DISCLOSING PARTY provides any computer software and/or hardware to RECIPIENT as Confidential Information, RECIPIENT may not directly or indirectly, disassemble, decrypt, electronically scan, decompile or derive source code from the Confidential Information, or otherwise reverse engineer or attempt to reverse engineer the design and function of the Confidential Information.",Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,Entailment,0
492,nda-1,,All Confidential Information shall be expressly identified by the Disclosing Party.,NotMentioned,0
424,nda-15,,Agreement shall not grant Receiving Party any right to Confidential Information.,NotMentioned,0
538,nda-1,,All Confidential Information shall be expressly identified by the Disclosing Party.,NotMentioned,0
362,nda-20,"Within ten (10) days after any written request by the Disclosing Party, the Receiving Party shall promptly return all copies of the Confidential Information.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Contradiction,1
292,nda-19,"The Receiving Party’s designated representative may maintain one copy of all Confidential Information for the purpose of addressing any claim that may be brought under this Agreement and to comply with any other legal or recordkeeping requirements, and neither party will be obligated to destroy any Confidential Information that is stored electronically on back-up systems or computer hard drives after a file is deleted, but any such electronic information will continue to be subject to the terms of confidentiality under this Agreement. The obligations and restrictions of confidentiality of the Receiving Party under this Agreement shall continue for a period of three (3) years from the date of termination of this Agreement.",Some obligations of Agreement may survive termination of Agreement.,Entailment,0
407,nda-15,"All written Confidential Information delivered by or on behalf of MCI to the Company pursuant to this Agreement shall be and remain the property of MCI and upon the written request of MCI, the Company shall",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
571,nda-12,The term Evaluation Material does not include information which (iv) is independently developed by Recipient or its Representatives without use or benefit of the Evaluation Material.,Receiving Party may independently develop information similar to Confidential Information.,Entailment,0
277,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
234,nda-5,,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,NotMentioned,0
238,nda-12,"2. Notwithstanding the foregoing, the obligation of a person to protect the confidentiality of any information or materials shall terminate as to any information or materials which: (iv) are independently developed by such person from sources or through persons that such person can demonstrate had no access to Confidential Information; or",Receiving Party may independently develop information similar to Confidential Information.,Entailment,0
237,nda-8,"4. Receiving Party agrees, except to the extent pursuant to, or required by law, regulation, legal process or regulatory authority to disclose any Confidential Information (prior intimation be provided to Disclosing Party to enable it to take recourse of legal remedies viz, injunctions, stay etc.), Receiving Party shall not","Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",Entailment,0
166,nda-13,"1. References to ""Confidential Information"" mean all knowledge, information or materials whether of a technical or financial nature or otherwise relating to the business or affairs of the Parties (including without limitation any subsidiary or affiliated entity thereof), including all memoranda, notes, analyses, compilations, studies and other materials prepared by or for the receiving party which contain or reflect such knowledge, information or materials, which is provided or disclosed by the disclosing party to the receiving party in connection with the Opportunity and identified at the time of such disclosure as being confidential; provided that Confidential Information shall not include: (c) information that the receiving party independently develops or independently becomes aware of from a third party without, to the knowledge of the receiving party, a duty of confidentiality to the disclosing party.",Receiving Party may acquire information similar to Confidential Information from a third party.,Entailment,0
93,nda-7,"Vendor shall restrict disclosure of such CONFIDENTIAL INFORMATION to its employees with a need to know (and advise such employees of the obligations assumed herein), and shall not disclose such CONFIDENTIAL INFORMATION to any third party without prior written approval of the State.","Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Contradiction,1
224,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
553,nda-3,,Confidential Information may include verbally conveyed information.,NotMentioned,0
